food,calories,protein_g,fat_g,carbs_g,fiber_g,calcium_mg,iron_mg,tags
Grilled Chicken Breast (100g),165,31,3.6,0,0,12,0.9,non-veg high-protein
Paneer (100g),265,18,21,4,0,480,0.2,veg high-fat high-protein indian
Boiled Eggs (2),155,13,11,1.1,0,50,1.2,non-veg keto high-protein
Tofu (150g),117,13,7,2,1.2,350,3.0,veg vegan high-protein
Greek Yogurt (200g),146,20,0.4,16,0,220,0,veg dairy high-protein
Oats (50g),190,8,3.5,33,5.0,21,2.1,veg wholegrain fiber breakfast
Brown Rice (150g cooked),165,3.5,1.3,34,1.6,10,0.4,veg carbs gluten-free
Quinoa (150g cooked),185,6.8,2.8,32,2.8,17,1.5,veg gluten-free complete-protein
Mixed Veg Salad (250g),110,5,3,15,5.5,90,2.0,veg vegan low-cal high-fiber
Dal/Lentils (200g cooked),230,18,2,38,15,30,3.3,veg indian high-protein high-fiber
Chickpeas (150g cooked),240,12,4,40,10,80,2.7,veg vegan high-fiber
Apple (1 medium),95,0.5,0.3,25,4.4,11,0.2,veg vegan fruit snack
Banana (1 medium),105,1.3,0.4,27,3.1,6,0.3,veg vegan fruit snack
Peanut Butter (2 tbsp),188,8,16,6,2.0,17,0.6,veg snack high-fat
Almonds (30g),174,6,15,6,3.5,75,1.1,veg snack high-fat
Milk (250ml),155,8,8,12,0,300,0,veg dairy calcium
Spinach (100g cooked),23,3,0.4,4,2.2,99,2.7,veg vegan leafy iron
Broccoli (150g),50,4.2,0.6,10,3.8,60,1.0,veg vegan cruciferous fiber
Salmon (120g),233,25,14,0,0,12,0.6,non-veg omega-3 high-protein
Roti/Chapati (1),110,3.0,3.0,18,2.0,10,0.7,veg indian flatbread
Idli (2),140,5,1,28,2.5,20,0.3,veg indian breakfast
Dosa (1),168,4,6,26,2.0,8,0.5,veg indian breakfast
Sambar (200g),120,4,3,18,4.0,40,1.0,veg indian soup
Curd (200g),122,7,7,8,0,275,0.1,veg dairy probiotic
Cottage Cheese Sandwich,320,22,10,35,5,200,2.0,veg high-protein quick
